radius ,lambda,r/ lambda,Theta (incident angle),Background1 RI,Backgrnd2 RI,Ri1 of particle 1,Loss1 of particle 1,Kai1 of particle 1,Ri2 of particle 2,Loss2 of particle 2,Kai2 of particle 2,Ri3 of particle 3,Loss3 of particle 3,Kai3 of particle 3,Force F1,Force F2,Force F3,Class Label
100,720,0.138888889,25,1,1,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,-1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,-1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,800,0.125,25,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,-1,push,push,lateral,Negative Class
100,800,0.125,25,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,1,push,push,lateral,Negative Class
100,800,0.125,25,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,1,push,push,lateral,Negative Class
100,800,0.125,25,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,1,push,push,lateral,Negative Class
100,800,0.125,25,1,1,1.45,0,0,0.15352,4.9077,0,1.45,0,1,push,push,lateral,Negative Class
100,840,0.119047619,25,1,1,1.45,0,0,0.16267,5.2376,0,1.45,0,1,push,push,lateral,Negative Class
100,840,0.119047619,25,1,1,1.45,0,0,0.16267,5.2376,0,1.45,0,1,push,push,lateral,Negative Class
100,840,0.119047619,25,1,1,1.45,0,0,0.16267,5.2376,0,1.45,0,1,push,push,lateral,Negative Class
100,840,0.119047619,25,1,1,1.45,0,0,0.16267,5.2376,0,1.45,0,1,push,push,lateral,Negative Class
100,840,0.119047619,25,1,1,1.45,0,0,0.16267,5.2376,0,1.45,0,1,push,push,lateral,Negative Class
100,940,0.106382979,25,1,1,1.45,0,0,0.19609,6.0214,0,1.45,0,1,push,push,lateral,Negative Class
100,940,0.106382979,25,1,1,1.45,0,0,0.19609,6.0214,0,1.45,0,1,push,push,lateral,Negative Class
100,940,0.106382979,25,1,1,1.45,0,0,0.19609,6.0214,0,1.45,0,1,push,push,lateral,Negative Class
100,940,0.106382979,25,1,1,1.45,0,0,0.19609,6.0214,0,1.45,0,1,push,push,lateral,Negative Class
100,940,0.106382979,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1000,0.1,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1000,0.1,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1000,0.1,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1000,0.1,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1000,0.1,25,1,1,1.45,0,0,0.22769,6.4731,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,1040,0.096153846,25,1,1,1.45,0,0,0.24692,6.7808,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1.33,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,1,push,push,lateral,Negative Class
100,720,0.138888889,25,1,1.33,1.45,0,0,0.13301,4.2351,0,1.45,0,-1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1.33,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1.33,1.45,0,0,0.14123,4.5752,0,1.45,0,-1,push,push,lateral,Negative Class
